experiment_id,timestamp,feature_set,preprocessing,model,cv_auc,public_score,notes
EXP001,2026-06-11,Baseline,Mean Imputation + Label Encoding,RandomForest,0.813,0.80807,First submission
EXP002,2026-06-11,Workbench,Mean Imputation + Label Encoding,RandomForest,0.8115,0.8056,Second submission
EXP003,2026-06-11T23:40:31+0530,Workbench + School Count Encoding,Mean Imputation + Label Encoding + School Count Encoding,RandomForest,0.815328,81775.0,Applied approved School count encoding and regenerated submission.csv
EXP004,2026-06-12T01:03:28+0530,Workbench + School Count Encoding + Missing Indicators,Mean Imputation + Label Encoding + School Count Encoding + Missing Indicators,RandomForest,0.817604,0.82497,Added binary missing-value indicators for all seven null-bearing columns and regenerated submission.csv
EXP005,2026-06-12T05:07:52+0530,Workbench + School Count Encoding + Missing Indicators + BMI,Mean Imputation + Label Encoding + School Count Encoding + Missing Indicators + BMI,RandomForest,0.817691,0.82816,Accepted BMI feature with identical CV folds and seed; regenerated submission.csv locally
EXP006,2026-06-12T05:17:49+0530,Workbench + School Count Encoding + Missing Indicators + BMI + SPEED_SCORE,Mean Imputation + Label Encoding + School Count Encoding + Missing Indicators + BMI + SPEED_SCORE,RandomForest,0.827997,0.83247,Accepted SPEED_SCORE feature with identical CV folds and seed; regenerated submission.csv locally
EXP007,2026-06-12T05:29:15+0530,Workbench + School Count Encoding + Missing Indicators + BMI + SPEED_SCORE + EXPLOSIVENESS,Mean Imputation + Label Encoding + School Count Encoding + Missing Indicators + BMI + SPEED_SCORE + EXPLOSIVENESS,RandomForest,0.828366,0.83313,Accepted EXPLOSIVENESS feature with identical CV folds and seed; regenerated submission.csv locally
EXP008,2026-06-12T06:05:00+0530,Workbench + School Count Encoding + Missing Indicators + BMI + SPEED_SCORE + EXPLOSIVENESS,Mean Imputation + Label Encoding + School Count Encoding + Missing Indicators + BMI + SPEED_SCORE + EXPLOSIVENESS,CatBoost,0.83185,0.84481,"Step 10 model selection winner promoted with identical accepted features, folds, and seed; regenerated submission.csv locally"
EXP009,2026-06-12T09:21:37.605625+05:30,Workbench + School Count Encoding + Missing Indicators + BMI + SPEED_SCORE + EXPLOSIVENESS + Optuna,Mean Imputation + Label Encoding + School Count Encoding + Missing Indicators + BMI + SPEED_SCORE + EXPLOSIVENESS,CatBoost,0.840338,0.84745,Step 11 tuned CatBoost via Optuna; promoted improved parameters and regenerated submission.csv locally
EXP010,2026-06-12T13:23:12.453726+05:30,Workbench + School Count Encoding + Missing Indicators + BMI + SPEED_SCORE + EXPLOSIVENESS + Optuna,Mean Imputation + Label Encoding + School Count Encoding + Missing Indicators + BMI + SPEED_SCORE + EXPLOSIVENESS,CatBoost,0.841108,,Step 16 deep Optuna tuning; promoted improved CatBoost parameters and regenerated submission.csv locally
